Orbital parameters for the last 2000 years to 2100 AD (Berger, 1978)
(Slightly higher precision than the calculation in the reference)

This file is available on
	https://pmip3.lsce.ipsl.fr/wiki/doku.php/pmip3:design:lm:index

Year   = Common Era (CE or AD)
ECCEN  = eccentricity of orbital ellipse
OBLIQ  = latitude of Tropic of Cancer in degrees
PERI   = longitude of perihelion 

       = spatial angle from vernal equinox to perihelion in degrees
         with sun as angle vertex

Note that for the period 0-2100 CE, the changes in orbital parameters
are well approximated by linear regressions:

ECCEN    = 0.017475 - 0.000000382 * Year
OBLIQ    = 23.697   - 0.000128    * Year
PERI-180 = 68.79    + 0.0170      * Year

  Year    ECCEN       OBLIQ       PERI-180
     0   0.0174657   23.695373    68.81967
     1   0.0174654   23.695250    68.83661
     2   0.0174650   23.695126    68.85356
     3   0.0174647   23.695003    68.87051
     4   0.0174643   23.694880    68.88745
     5   0.0174639   23.694756    68.90440
     6   0.0174636   23.694633    68.92135
     7   0.0174632   23.694510    68.93829
     8   0.0174629   23.694386    68.95524
     9   0.0174625   23.694263    68.97219
    10   0.0174622   23.694140    68.98914
    11   0.0174618   23.694016    69.00608
    12   0.0174615   23.693893    69.02303
    13   0.0174611   23.693770    69.03998
    14   0.0174607   23.693646    69.05692
    15   0.0174604   23.693523    69.07387
    16   0.0174600   23.693399    69.09082
    17   0.0174597   23.693276    69.10777
    18   0.0174593   23.693153    69.12472
    19   0.0174590   23.693029    69.14166
    20   0.0174586   23.692906    69.15861
    21   0.0174582   23.692782    69.17556
    22   0.0174579   23.692659    69.19251
    23   0.0174575   23.692535    69.20946
    24   0.0174572   23.692412    69.22640
    25   0.0174568   23.692288    69.24335
    26   0.0174565   23.692165    69.26030
    27   0.0174561   23.692042    69.27725
    28   0.0174558   23.691918    69.29420
    29   0.0174554   23.691795    69.31115
    30   0.0174550   23.691671    69.32810
    31   0.0174547   23.691548    69.34505
    32   0.0174543   23.691424    69.36199
    33   0.0174540   23.691301    69.37894
    34   0.0174536   23.691177    69.39589
    35   0.0174533   23.691054    69.41284
    36   0.0174529   23.690930    69.42979
    37   0.0174526   23.690806    69.44674
    38   0.0174522   23.690683    69.46369
    39   0.0174518   23.690559    69.48064
    40   0.0174515   23.690436    69.49759
    41   0.0174511   23.690312    69.51454
    42   0.0174508   23.690189    69.53149
    43   0.0174504   23.690065    69.54844
    44   0.0174501   23.689941    69.56539
    45   0.0174497   23.689818    69.58234
    46   0.0174493   23.689694    69.59929
    47   0.0174490   23.689571    69.61624
    48   0.0174486   23.689447    69.63319
    49   0.0174483   23.689323    69.65014
    50   0.0174479   23.689200    69.66709
    51   0.0174476   23.689076    69.68404
    52   0.0174472   23.688953    69.70100
    53   0.0174468   23.688829    69.71795
    54   0.0174465   23.688705    69.73490
    55   0.0174461   23.688582    69.75185
    56   0.0174458   23.688458    69.76880
    57   0.0174454   23.688334    69.78575
    58   0.0174451   23.688211    69.80270
    59   0.0174447   23.688087    69.81965
    60   0.0174443   23.687963    69.83661
    61   0.0174440   23.687840    69.85356
    62   0.0174436   23.687716    69.87051
    63   0.0174433   23.687592    69.88746
    64   0.0174429   23.687468    69.90441
    65   0.0174426   23.687345    69.92136
    66   0.0174422   23.687221    69.93832
    67   0.0174418   23.687097    69.95527
    68   0.0174415   23.686973    69.97222
    69   0.0174411   23.686850    69.98917
    70   0.0174408   23.686726    70.00613
    71   0.0174404   23.686602    70.02308
    72   0.0174401   23.686478    70.04003
    73   0.0174397   23.686355    70.05698
    74   0.0174393   23.686231    70.07394
    75   0.0174390   23.686107    70.09089
    76   0.0174386   23.685983    70.10784
    77   0.0174383   23.685859    70.12480
    78   0.0174379   23.685736    70.14175
    79   0.0174376   23.685612    70.15870
    80   0.0174372   23.685488    70.17566
    81   0.0174368   23.685364    70.19261
    82   0.0174365   23.685240    70.20956
    83   0.0174361   23.685117    70.22652
    84   0.0174358   23.684993    70.24347
    85   0.0174354   23.684869    70.26042
    86   0.0174351   23.684745    70.27738
    87   0.0174347   23.684621    70.29433
    88   0.0174343   23.684497    70.31129
    89   0.0174340   23.684373    70.32824
    90   0.0174336   23.684249    70.34519
    91   0.0174333   23.684126    70.36215
    92   0.0174329   23.684002    70.37910
    93   0.0174326   23.683878    70.39606
    94   0.0174322   23.683754    70.41301
    95   0.0174318   23.683630    70.42997
    96   0.0174315   23.683506    70.44692
    97   0.0174311   23.683382    70.46388
    98   0.0174308   23.683258    70.48083
    99   0.0174304   23.683134    70.49779
   100   0.0174300   23.683010    70.51474
   101   0.0174297   23.682886    70.53170
   102   0.0174293   23.682762    70.54865
   103   0.0174290   23.682638    70.56561
   104   0.0174286   23.682514    70.58256
   105   0.0174283   23.682390    70.59952
   106   0.0174279   23.682266    70.61648
   107   0.0174275   23.682142    70.63343
   108   0.0174272   23.682018    70.65039
   109   0.0174268   23.681894    70.66734
   110   0.0174265   23.681770    70.68430
   111   0.0174261   23.681646    70.70126
   112   0.0174258   23.681522    70.71821
   113   0.0174254   23.681398    70.73517
   114   0.0174250   23.681274    70.75212
   115   0.0174247   23.681150    70.76908
   116   0.0174243   23.681026    70.78604
   117   0.0174240   23.680902    70.80299
   118   0.0174236   23.680778    70.81995
   119   0.0174232   23.680654    70.83691
   120   0.0174229   23.680530    70.85387
   121   0.0174225   23.680406    70.87082
   122   0.0174222   23.680282    70.88778
   123   0.0174218   23.680158    70.90474
   124   0.0174214   23.680034    70.92169
   125   0.0174211   23.679910    70.93865
   126   0.0174207   23.679785    70.95561
   127   0.0174204   23.679661    70.97257
   128   0.0174200   23.679537    70.98952
   129   0.0174197   23.679413    71.00648
   130   0.0174193   23.679289    71.02344
   131   0.0174189   23.679165    71.04040
   132   0.0174186   23.679041    71.05736
   133   0.0174182   23.678916    71.07431
   134   0.0174179   23.678792    71.09127
   135   0.0174175   23.678668    71.10823
   136   0.0174171   23.678544    71.12519
   137   0.0174168   23.678420    71.14215
   138   0.0174164   23.678296    71.15911
   139   0.0174161   23.678171    71.17607
   140   0.0174157   23.678047    71.19302
   141   0.0174153   23.677923    71.20998
   142   0.0174150   23.677799    71.22694
   143   0.0174146   23.677674    71.24390
   144   0.0174143   23.677550    71.26086
   145   0.0174139   23.677426    71.27782
   146   0.0174136   23.677302    71.29478
   147   0.0174132   23.677178    71.31174
   148   0.0174128   23.677053    71.32870
   149   0.0174125   23.676929    71.34566
   150   0.0174121   23.676805    71.36262
   151   0.0174118   23.676681    71.37958
   152   0.0174114   23.676556    71.39654
