"","V1","V2","V3"
"800",800,0.00275,-0.0495
"800.0278",800.0278,0.003675,-0.06615
"800.0556",800.0556,0.0046,-0.0828
"800.0833",800.0833,0.00555,-0.0999
"800.1111",800.1111,0.006475,-0.11655
"800.1389",800.1389,0.0074,-0.1332
"800.1667",800.1667,0.008325,-0.14985
"800.1944",800.1944,0.00925,-0.1665
"800.2222",800.2222,0.0093,-0.1674
"800.25",800.25,0.0093,-0.1674
"800.2778",800.2778,0.0093,-0.1674
"800.3056",800.3056,0.0093,-0.1674
"800.3333",800.3333,0.0093,-0.1674
"800.3611",800.3611,0.0093,-0.1674
"800.3889",800.3889,0.0093,-0.1674
"800.4167",800.4167,0.008925,-0.16065
"800.4444",800.4444,0.00855,-0.1539
"800.4722",800.4722,0.0082,-0.1476
"800.5",800.5,0.007875,-0.14175
"800.5278",800.5278,0.00755,-0.1359
"800.5556",800.5556,0.00725,-0.1305
"800.5833",800.5833,0.00695,-0.1251
"800.6111",800.6111,0.00665,-0.1197
"800.6389",800.6389,0.0064,-0.1152
"800.6667",800.6667,0.006125,-0.11025
"800.6944",800.6944,0.005875,-0.10575
"800.7222",800.7222,0.00565,-0.1017
"800.75",800.75,0.0054,-0.0972
"800.7778",800.7778,0.005175,-0.09315
"800.8056",800.8056,0.004975,-0.08955
"800.8333",800.8333,0.004775,-0.08595
"800.8611",800.8611,0.004575,-0.08235
"800.8889",800.8889,0.0044,-0.0792
"800.9167",800.9167,0.0042,-0.0756
"800.9444",800.9444,0.00405,-0.0729
"800.9722",800.9722,0.003875,-0.06975
"801",801,0.003725,-0.06705
"801.0278",801.0278,0.003575,-0.06435
"801.0556",801.0556,0.003425,-0.06165
"801.0833",801.0833,0.003275,-0.05895
"801.1111",801.1111,0.00315,-0.0567
"801.1389",801.1389,0.003025,-0.05445
"801.1667",801.1667,0.0029,-0.0522
"801.1944",801.1944,0.002775,-0.04995
"801.2222",801.2222,0.002675,-0.04815
"801.25",801.25,0.00255,-0.0459
"801.2778",801.2778,0.00245,-0.0441
