TSI from Vieira, Krivova et al (calibrated to WLS)
Year 
TSI (W/m2)
Year  Vieira_Krivova 
0850. 1365.66
0851. 1365.43
0852. 1365.29
0853. 1365.29
0854. 1365.43
0855. 1365.66
0856. 1365.91
0857. 1366.1
0858. 1366.16
0859. 1366.09
0860. 1365.89
0861. 1365.64
0862. 1365.42
0863. 1365.28
0864. 1365.28
0865. 1365.41
0866. 1365.63
0867. 1365.86
0868. 1366.04
0869. 1366.1
0870. 1366.03
0871. 1365.84
0872. 1365.61
0873. 1365.39
0874. 1365.26
0875. 1365.26
0876. 1365.37
0877. 1365.56
0878. 1365.76
0879. 1365.89
0880. 1365.93
0881. 1365.84
0882. 1365.67
0883. 1365.46
0884. 1365.27
0885. 1365.16
0886. 1365.15
0887. 1365.23
0888. 1365.36
0889. 1365.49
0890. 1365.58
0891. 1365.58
0892. 1365.51
0893. 1365.38
0894. 1365.23
0895. 1365.11
0896. 1365.05
0897. 1365.04
0898. 1365.11
0899. 1365.21
0900. 1365.32
0901. 1365.41
0902. 1365.44
0903. 1365.41
0904. 1365.32
0905. 1365.21
0906. 1365.12
0907. 1365.07
0908. 1365.08
0909. 1365.17
0910. 1365.33
0911. 1365.51
0912. 1365.67
0913. 1365.76
0914. 1365.75
0915. 1365.64
0916. 1365.48
0917. 1365.32
0918. 1365.22
0919. 1365.24
0920. 1365.37
0921. 1365.61
0922. 1365.88
0923. 1366.11
0924. 1366.22
0925. 1366.18
0926. 1365.98
0927. 1365.71
0928. 1365.47
0929. 1365.32
0930. 1365.32
0931. 1365.46
0932. 1365.7
0933. 1365.97
0934. 1366.17
0935. 1366.24
0936. 1366.15
0937. 1365.94
0938. 1365.68
0939. 1365.44
0940. 1365.29
0941. 1365.29
0942. 1365.42
0943. 1365.64
0944. 1365.87
0945. 1366.05
0946. 1366.11
0947. 1366.03
0948. 1365.85
0949. 1365.61
0950. 1365.39
0951. 1365.26
0952. 1365.26
0953. 1365.38
0954. 1365.59
0955. 1365.81
0956. 1365.98
0957. 1366.03
0958. 1365.96
0959. 1365.78
0960. 1365.56
0961. 1365.35
0962. 1365.23
0963. 1365.23
0964. 1365.34
0965. 1365.53
0966. 1365.74
0967. 1365.88
0968. 1365.93
0969. 1365.86
0970. 1365.69
0971. 1365.49
0972. 1365.3
0973. 1365.19
0974. 1365.18
0975. 1365.28
0976. 1365.44
0977. 1365.61
0978. 1365.74
0979. 1365.77
0980. 1365.7
0981. 1365.56
0982. 1365.38
0983. 1365.22
0984. 1365.12
0985. 1365.12
0986. 1365.2
0987. 1365.33
0988. 1365.48
0989. 1365.58
0990. 1365.62
0991. 1365.57
0992. 1365.45
0993. 1365.3
0994. 1365.17
0995. 1365.09
0996. 1365.09
0997. 1365.16
0998. 1365.29
0999. 1365.43
1000. 1365.54
1001. 1365.58
1002. 1365.54
1003. 1365.44
1004. 1365.3
1005. 1365.17
1006. 1365.09
1007. 1365.09
1008. 1365.15
1009. 1365.27
1010. 1365.39
1011. 1365.48
1012. 1365.51
1013. 1365.46
1014. 1365.36
1015. 1365.23
1016. 1365.11
1017. 1365.04
1018. 1365.03
1019. 1365.08
1020. 1365.15
1021. 1365.23
1022. 1365.27
1023. 1365.27
1024. 1365.23
1025. 1365.15
1026. 1365.07
1027. 1365
1028. 1364.96
1029. 1364.95
1030. 1364.98
1031. 1365.03
1032. 1365.09
1033. 1365.12
1034. 1365.12
1035. 1365.1
1036. 1365.06
1037. 1365.01
1038. 1364.96
1039. 1364.94
1040. 1364.94
1041. 1364.97
1042. 1365.02
1043. 1365.08
1044. 1365.13
1045. 1365.15
1046. 1365.15
1047. 1365.11
1048. 1365.05
1049. 1365
1050. 1364.96
1051. 1364.97
1052. 1365.01
1053. 1365.09
1054. 1365.17
1055. 1365.24
1056. 1365.27
1057. 1365.26
1058. 1365.2
1059. 1365.12
1060. 1365.04
1061. 1365
1062. 1365
1063. 1365.06
1064. 1365.15
1065. 1365.25
1066. 1365.33
1067. 1365.37
1068. 1365.36
1069. 1365.29
1070. 1365.19
1071. 1365.1
1072. 1365.04
1073. 1365.04
1074. 1365.11
1075. 1365.23
1076. 1365.37
1077. 1365.49
1078. 1365.55
1079. 1365.54
1080. 1365.46
1081. 1365.33
1082. 1365.2
1083. 1365.13
1084. 1365.14
1085. 1365.24
1086. 1365.42
1087. 1365.61
1088. 1365.78
1089. 1365.86
1090. 1365.83
1091. 1365.7
1092. 1365.51
1093. 1365.33
1094. 1365.23
1095. 1365.24
1096. 1365.36
1097. 1365.57
1098. 1365.79
1099. 1365.96
1100. 1366.03
1101. 1365.97
1102. 1365.8
1103. 1365.58
1104. 1365.38
1105. 1365.25
1106. 1365.25
1107. 1365.36
1108. 1365.55
1109. 1365.75
1110. 1365.9
1111. 1365.94
1112. 1365.86
1113. 1365.69
1114. 1365.48
1115. 1365.29
1116. 1365.18
1117. 1365.18
1118. 1365.28
1119. 1365.44
1120. 1365.61
1121. 1365.74
1122. 1365.78
1123. 1365.72
1124. 1365.58
1125. 1365.4
1126. 1365.25
1127. 1365.17
1128. 1365.18
1129. 1365.29
1130. 1365.49
1131. 1365.72
1132. 1365.91
1133. 1366
1134. 1365.97
1135. 1365.82
1136. 1365.61
1137. 1365.4
1138. 1365.28
1139. 1365.29
1140. 1365.43
1141. 1365.68
1142. 1365.96
1143. 1366.18
1144. 1366.28
1145. 1366.22
1146. 1365.97
1147. 1365.68
1148. 1365.42
1149. 1365.27
1150. 1365.25
1151. 1365.35
1152. 1365.52
1153. 1365.69
1154. 1365.79
1155. 1365.79
1156. 1365.71
1157. 1365.56
1158. 1365.37
1159. 1365.21
1160. 1365.12
1161. 1365.11
1162. 1365.18
1163. 1365.29
1164. 1365.41
1165. 1365.48
1166. 1365.54
1167. 1365.51
1168. 1365.42
1169. 1365.3
1170. 1365.17
1171. 1365.1
1172. 1365.11
1173. 1365.2
1174. 1365.34
1175. 1365.51
1176. 1365.64
1177. 1365.68
1178. 1365.64
1179. 1365.52
1180. 1365.37
1181. 1365.22
1182. 1365.13
1183. 1365.13
1184. 1365.23
1185. 1365.38
1186. 1365.54
1187. 1365.67
1188. 1365.72
1189. 1365.67
1190. 1365.55
1191. 1365.38
1192. 1365.23
1193. 1365.14
1194. 1365.14
1195. 1365.23
1196. 1365.38
1197. 1365.55
1198. 1365.68
1199. 1365.73
1200. 1365.68
1201. 1365.56
1202. 1365.39
1203. 1365.24
1204. 1365.15
1205. 1365.15
1206. 1365.23
1207. 1365.37
1208. 1365.51
1209. 1365.61
1210. 1365.64
1211. 1365.58
1212. 1365.45
1213. 1365.29
1214. 1365.16
1215. 1365.08
1216. 1365.07
1217. 1365.14
1218. 1365.26
1219. 1365.38
1220. 1365.47
1221. 1365.49
1222. 1365.45
1223. 1365.35
1224. 1365.23
1225. 1365.12
1226. 1365.06
1227. 1365.06
1228. 1365.13
1229. 1365.26
1230. 1365.4
1231. 1365.51
1232. 1365.57
1233. 1365.54
1234. 1365.45
1235. 1365.31
1236. 1365.18
1237. 1365.1
1238. 1365.11
1239. 1365.19
1240. 1365.33
1241. 1365.49
1242. 1365.61
1243. 1365.66
1244. 1365.62
1245. 1365.51
1246. 1365.35
1247. 1365.2
1248. 1365.12
1249. 1365.12
1250. 1365.2
1251. 1365.33
1252. 1365.48
1253. 1365.59
1254. 1365.62
1255. 1365.57
1256. 1365.45
1257. 1365.3
1258. 1365.17
1259. 1365.09
1260. 1365.09
1261. 1365.16
1262. 1365.27
1263. 1365.4
1264. 1365.48
1265. 1365.51
1266. 1365.46
1267. 1365.35
1268. 1365.22
1269. 1365.11
1270. 1365.04
1271. 1365.03
1272. 1365.08
1273. 1365.16
1274. 1365.25
1275. 1365.31
1276. 1365.31
1277. 1365.26
1278. 1365.18
1279. 1365.08
1280. 1365
1281. 1364.96
1282. 1364.95
1283. 1364.97
1284. 1365.01
1285. 1365.04
1286. 1365.06
1287. 1365.05
1288. 1365.02
1289. 1364.98
1290. 1364.93
1291. 1364.9
1292. 1364.88
1293. 1364.87
1294. 1364.87
1295. 1364.87
1296. 1364.88
1297. 1364.88
1298. 1364.88
1299. 1364.88
1300. 1364.87
1301. 1364.86
1302. 1364.85
1303. 1364.84
1304. 1364.84
1305. 1364.84
1306. 1364.85
1307. 1364.86
1308. 1364.87
1309. 1364.88
1310. 1364.88
1311. 1364.88
1312. 1364.87
1313. 1364.87
1314. 1364.86
1315. 1364.87
1316. 1364.87
1317. 1364.89
