ANNUAL MEAN TSI: Lean (GRL 2000) with Wang Lean Sheeley (ApJ 2005) background
Year
TSI (W/m2)
    YEAR   Lean_TSI_11-yr_cycle   Lean_TSI_cycle+background  
  1610.      1365.8477      1365.5469
  1611.      1365.8342      1365.5300
  1612.      1366.2461      1365.9279
  1613.      1366.3650      1366.0399
  1614.      1366.4451      1366.1143
  1615.      1366.1591      1365.8314
  1616.      1365.7358      1365.4148
  1617.      1365.6107      1365.2889
  1618.      1365.6038      1365.2783
  1619.      1365.7001      1365.3684
  1620.      1365.7001      1365.3645
  1621.      1365.7001      1365.3607
  1622.      1365.7001      1365.3568
  1623.      1365.7001      1365.3530
  1624.      1365.6621      1365.3121
  1625.      1365.8926      1365.5303
  1626.      1365.7816      1365.4191
  1627.      1365.7106      1365.3418
  1628.      1365.7577      1365.3518
  1629.      1365.7261      1365.2922
  1630.      1365.5946      1365.1428
  1631.      1365.6255      1365.1515
  1632.      1365.5946      1365.1183
  1633.      1365.6951      1365.2158
  1634.      1365.6157      1365.1362
  1635.      1365.6249      1365.1411
  1636.      1365.5946      1365.1080
  1637.      1365.5946      1365.1046
  1638.      1366.0768      1365.5710
  1639.      1366.1344      1365.6241
  1640.      1365.7001      1365.1936
  1641.      1365.5946      1365.0815
  1642.      1365.9277      1365.4006
  1643.      1365.7183      1365.1824
  1644.      1365.6761      1365.1272
  1645.      1365.5946      1365.0454
  1646.      1365.5946      1365.0449
  1647.      1365.5946      1365.0443
  1648.      1365.5946      1365.0424
  1649.      1365.5946      1365.0399
  1650.      1365.5946      1365.0389
  1651.      1365.5946      1365.0383
  1652.      1365.6227      1365.0657
  1653.      1365.6010      1365.0439
  1654.      1365.5995      1365.0358
  1655.      1365.5981      1365.0260
  1656.      1365.5989      1365.0249
  1657.      1365.5961      1365.0199
  1658.      1365.5946      1365.0145
  1659.      1365.5946      1365.0125
  1660.      1365.6086      1365.0259
  1661.      1365.6002      1365.0178
  1662.      1365.5946      1365.0125
  1663.      1365.5946      1365.0125
  1664.      1365.5946      1365.0126
  1665.      1365.5946      1365.0127
  1666.      1365.5946      1365.0127
  1667.      1365.5946      1365.0125
  1668.      1365.5946      1365.0122
  1669.      1365.5946      1365.0122
  1670.      1365.5946      1365.0122
  1671.      1365.6010      1365.0183
  1672.      1365.5974      1365.0148
  1673.      1365.5946      1365.0122
  1674.      1365.5961      1365.0135
  1675.      1365.5946      1365.0120
  1676.      1365.6073      1365.0239
  1677.      1365.5967      1365.0134
  1678.      1365.5961      1365.0128
  1679.      1365.5946      1365.0115
  1680.      1365.6002      1365.0170
  1681.      1365.5946      1365.0115
  1682.      1365.5946      1365.0115
  1683.      1365.5946      1365.0115
  1684.      1365.6045      1365.0211
  1685.      1365.5946      1365.0117
  1686.      1365.5989      1365.0159
  1687.      1365.5953      1365.0126
  1688.      1365.5981      1365.0159
  1689.      1365.5961      1365.0146
  1690.      1365.5946      1365.0143
  1691.      1365.5946      1365.0157
  1692.      1365.5946      1365.0172
  1693.      1365.5946      1365.0177
  1694.      1365.5946      1365.0179
  1695.      1365.5953      1365.0186
  1696.      1365.5946      1365.0178
  1697.      1365.5946      1365.0178
  1698.      1365.5946      1365.0179
  1699.      1365.5946      1365.0184
  1700.      1365.5974      1365.0216
  1701.      1365.5981      1365.0236
  1702.      1365.5989      1365.0266
  1703.      1365.6135      1365.0444
  1704.      1365.6234      1365.0594
  1705.      1365.6333      1365.0752
  1706.      1365.6171      1365.0637
  1707.      1365.6318      1365.0802
  1708.      1365.6143      1365.0658
  1709.      1365.6058      1365.0614
  1710.      1365.5974      1365.0634
  1711.      1365.5946      1365.0739
  1712.      1365.5946      1365.0798
  1713.      1365.5967      1365.0863
  1714.      1365.6010      1365.1023
  1715.      1365.6199      1365.1294
  1716.      1365.6586      1365.1694
  1717.      1365.7177      1365.2294
  1718.      1365.6578      1365.1707
  1719.      1365.8329      1365.3429
