Year,Source ,GREENLAND,GREENLAND,ANTARCTICA,ANTARCTICA,Global volcanic forcing (GVF),GVF,"Global forcing (Crowley 2013) (time-integrated, large tropical eruptions, 1600-2000)",
CE,"1, tropical; 2, NH; 3 SH",Sulfate [kg km-2],estimated uncertainty [kg km-2],Sulfate [kg km-2],estimated uncertainty [kg km-2],W [m-2],estimated uncertainty [W m-2],CE,W [m-2]
1991,1,21.4,10.7,11.1,1.4,-6.49,-2.70,1991,-4.97
1982,1,,,2.1,1.1,-0.42,-0.24,,
1979,3,,,1.8,0.9,-0.36,-0.20,,
1968,1,,,2.2,1.1,-0.44,-0.25,,
1964,1,7.2,3.6,11.5,1.4,-3.75,-1.22,1964,-2.78
1957,2,8.6,4.3,,,-0.98,-0.55,,
1947,2,5.2,2.6,,,-0.59,-0.33,,
1943,1,8.8,4.4,,,-1.76,-0.98,,
1931,3,,,1.3,0.6,-0.26,-0.15,,
1926,2,15.7,7.9,,,-1.79,-1.00,,
1925,2,9.0,4.5,,,-1.03,-0.57,,
1919,2,5.9,3.0,,,-0.67,-0.38,,
1912,2,28.6,14.3,,,-3.26,-1.82,,
1908,2,10.4,5.2,,,-1.18,-0.66,,
1903,1,,,3.1,0.5,-0.62,-0.19,,
1890,3,,,2.1,1.1,-0.42,-0.24,,
1887,3,,,3.9,1.8,-0.77,-0.41,,
1884,1,17.0,4.4,10.4,2.0,-5.48,-1.68,1884,-5.90
1875,2,5.0,1.3,,,-0.57,-0.21,,
1873,2,7.8,2.0,,,-0.88,-0.32,,
1862,1,16.2,4.3,4.0,0.6,-4.03,-1.32,,
1856,2,8.5,2.2,,,-0.96,-0.35,,
1853,2,5.3,1.4,,,-0.60,-0.22,,
1846,2,9.8,2.6,,,-1.12,-0.41,,
1836,1,23.3,6.1,9.6,1.1,-6.57,-2.06,1836,-6.20
1832,1,28.0,7.3,4.3,0.6,-6.46,-2.19,1832,-3.49
1823,2,7.6,2.0,,,-0.87,-0.31,,
1821,3,,,2.9,1.5,-0.59,-0.33,,
1815,1,39.7,10.4,45.8,5.3,-17.20,-4.90,1815,-17.20
1809,1,34.6,9.1,25.4,3.0,-12.01,-3.56,1809,-9.56
1797,2,6.3,1.7,,,-0.72,-0.26,,
1796,2,5.5,1.4,,,-0.63,-0.23,,
1786,2,7.7,2.0,,,-0.88,-0.32,,
1783,2,135.8,35.6,,,-15.49,-5.61,,
1770,2,5.5,1.4,,,-0.63,-0.23,,
1766,2,12.4,3.2,,,-1.41,-0.51,,
1762,1,12.4,3.3,5.2,0.6,-3.52,-1.10,,
1756,2,7.8,2.0,,,-0.89,-0.32,,
1739,2,20.7,5.4,,,-2.36,-0.85,,
1729,2,27.8,7.3,,,-3.17,-1.15,,
1725,2,4.5,1.2,,,-0.51,-0.19,,
1721,2,7.4,1.9,,,-0.84,-0.31,,
1720,2,5.8,1.5,,,-0.66,-0.24,,
1719,2,3.6,0.9,,,-0.41,-0.15,,
1708,2,7.1,1.8,,,-0.80,-0.29,,
1695,1,28.6,7.5,22.5,2.6,-10.24,-3.01,1695,-11.03
1693,1,5.4,1.4,1.5,0.7,-1.38,-0.47,,
1673,1,7.4,1.9,8.1,0.9,-3.11,-0.89,1673,-5.43
1667,2,20.5,5.4,,,-2.33,-0.85,,
1662,3,,,4.0,0.6,-0.81,-0.24,,
1654,2,13.0,3.4,5.0,2.5,-1.48,-0.54,,
1646,2,16.8,4.4,,,-1.91,-0.69,,
1641,1,44.2,11.6,14.9,1.7,-11.84,-3.78,1641,-6.58
1637,2,8.8,2.3,,,-1.00,-0.36,,
1621,3,,,8.6,1.2,-1.73,-0.49,,
1619,2,4.2,1.1,,,-0.48,-0.17,,
1601,1,39.2,10.3,18.7,2.6,-11.58,-3.59,1600,-7.08
