 Steinhilber et al TSI (scaled to WLS over 1967-2007)
 year (CE)
 TSI W/m2
 year  Steinhilber_et_al
         850   1365.8411859764342     
         851   1365.7174696947468     
         852   1365.6320813708080     
         853   1365.5726945953854     
         854   1365.5541494733031     
         855   1365.7697228051888     
         856   1366.0273734456334     
         857   1366.1757669488220     
         858   1366.3315986751115     
         859   1366.2318841229260     
         860   1366.0975226520723     
         861   1366.0076719964857     
         862   1365.8430188957216     
         863   1365.7284277364226     
         864   1365.6247369493901     
         865   1365.6546657475710     
         866   1365.8746872381394     
         867   1366.1632960981790     
         868   1366.3077397688908     
         869   1366.4618015736421     
         870   1366.3271217890281     
         871   1366.1547140328598     
         872   1366.0311312071799     
         873   1365.8146451362416     
         874   1365.6544791314172     
         875   1365.5278262048594     
         876   1365.6635041304689     
         877   1365.8085172640010     
         878   1365.9874701299511     
         879   1366.0758009237359     
         880   1366.1688450519480     
         881   1366.0478370402980     
         882   1365.8960334260876     
         883   1365.7733479831181     
         884   1365.5959860950718     
         885   1365.4508634926799     
         886   1365.3333753800539     
         887   1365.5114390333986     
         888   1365.5486595321991     
         889   1365.6037795197681     
         890   1365.6279096434607     
         891   1365.6480334578252     
         892   1365.5768863758894     
         893   1365.5072679029372     
         894   1365.4595111403414     
         895   1365.3794811329922     
         896   1365.3266579127021     
         897   1365.2710183581771     
         898   1365.3358582248477     
         899   1365.3855745451299     
         900   1365.4358665356542     
         901   1365.4719402208834     
         902   1365.5015551969784     
         903   1365.4972440015245     
         904   1365.4879275995511     
         905   1365.4756195283103     
         906   1365.4601516124071     
         907   1365.4548500933331     
         908   1365.4537929457742     
         909   1365.3774070476502     
         910   1365.5104678439811     
         911   1365.6836344932913     
         912   1365.7778586810898     
         913   1365.8921638925706     
         914   1365.8429569998311     
         915   1365.7895017419139     
         916   1365.7459971603928     
         917   1365.6750303339668     
         918   1365.6230042783166     
         919   1365.5930607121816     
         920   1365.5190849390199     
         921   1365.7416022510699     
         922   1366.0053831140651     
         923   1366.1517703463135     
         924   1366.3153233127953     
         925   1366.2174794146631     
         926   1366.0953737294737     
         927   1366.0072395951490     
         928   1365.8453156156568     
         929   1365.7326713120485     
         930   1365.6506007924565     
         931   1365.6549238847047     
         932   1365.8971694546144     
         933   1366.1912574244518     
         934   1366.3437261789252     
         935   1366.5269030229074     
         936   1366.3847406220791     
         937   1366.2133097232536     
         938   1366.0828608125271     
         939   1365.8754582565016     
         940   1365.7175048289143     
         941   1365.5943708325938     
         942   1365.6747948161378     
         943   1365.9009283463768     
         944   1366.1872767613154     
         945   1366.3257329739079     
         946   1366.4943522982749     
         947   1366.3559312055536     
         948   1366.1890118780568     
         949   1366.0619960098534     
         950   1365.8700516963715     
         951   1365.7259919801659     
         952   1365.6060985187266     
         953   1365.6649238847046     
         954   1365.8971694546144     
         955   1366.2012574244518     
         956   1366.3537261789252     
         957   1366.5269030229074     
         958   1366.3847406220791     
         959   1366.2133097232536     
         960   1366.0728608125271     
         961   1365.8654582565016     
         962   1365.7175048289143     
         963   1365.5843708325938     
         964   1365.6842785418703     
         965   1365.8759639134264     
         966   1366.1113541087698     
         967   1366.2337601538393     
         968   1366.3641493997443     
         969   1366.2106935394515     
         970   1366.0418204972693     
         971   1365.8985367991593     
         972   1365.6984254558515     
         973   1365.5399405851713     
         974   1365.4030092632574     
         975   1365.5874070476502     
         976   1365.6704678439812     
         977   1365.7836344932914     
         978   1365.8278586810898     
         979   1365.8921638925706     
         980   1365.7929569998312     
         981   1365.6895017419138     
         982   1365.5959971603927     
         983   1365.4850303339667     
         984   1365.4030042783165     
         985   1365.3230607121816     
         986   1365.4115681019657     
         987   1365.4749006404368     
         988   1365.5677601829045     
         989   1365.6259028484778     
         990   1365.6805841824580     
         991   1365.6456957924149     
         992   1365.5915657481339     
         993   1365.5603759430148     
         994   1365.5148876931221     
         995   1365.4781707614504     
         996   1365.4592906720443     
         997   1365.4274070476501     
         998   1365.5504678439811     
         999   1365.7036344932915     
        1000   1365.7978586810898     
        1001   1365.8921638925706     
        1002   1365.8329569998311     
        1003   1365.7495017419139     
        1004   1365.6859971603928     
        1005   1365.5950303339669     
        1006   1365.5230042783166     
        1007   1365.4630607121817     
        1008   1365.5071489105167     
        1009   1365.5979856275060     
        1010   1365.7056731670186     
        1011   1365.7618722710554     
        1012   1365.8270624433048     
        1013   1365.7353381667797     
        1014   1365.6409060515200     
        1015   1365.5542675550457     
        1016   1365.4442172137069     
        1017   1365.3499785808194     
        1018   1365.2765160844474     
        1019   1365.4054710191472     
        1020   1365.4068512204171     
        1021   1365.4039245462450     
        1022   1365.3979606058315     
        1023   1365.4039030230801     
        1024   1365.3808157519477     
        1025   1365.3450340639602     
        1026   1365.3230251202897     
        1027   1365.2939319320171     
        1028   1365.2903115470874     
        1029   1365.2889760041724     
        1030   1365.2857291562807     
        1031   1365.3293334368923     
        1032   1365.3818858725176     
        1033   1365.4239470158661     
        1034   1365.4690044723459     
        1035   1365.4784345849989     
        1036   1365.4736297543541     
        1037   1365.4747547256368     
        1038   1365.4647450522771     
        1039   1365.4633372445846     
        1040   1365.4755206319069     
        1041   1365.3872779790834     
        1042   1365.5142267357435     
        1043   1365.6696538301549     
        1044   1365.7598654760725     
        1045   1365.8596131679378     
        1046   1365.8141475833056     
        1047   1365.7552038967171     
        1048   1365.7051323577193     
        1049   1365.6196237738370     
        1050   1365.5614914295679     
        1051   1365.5147883983145     
        1052   1365.5029878562013     
        1053   1365.6535528310503     
        1054   1365.8315474774054     
        1055   1365.9338281036671     
        1056   1366.0386421534174     
        1057   1365.9625993741959     
        1058   1365.8588420453000     
        1059   1365.7798887724239     
        1060   1365.6543598545518     
        1061   1365.5648120976853     
        1062   1365.4902861245846     
        1063   1365.5329878562013     
        1064   1365.6735528310503     
        1065   1365.8415474774054     
        1066   1365.9338281036671     
        1067   1366.0386421534174     
        1068   1365.9525993741959     
        1069   1365.8588420453000     
        1070   1365.7798887724239     
        1071   1365.6643598545518     
        1072   1365.5748120976853     
        1073   1365.5102861245846     
        1074   1365.5233750619020     
        1075   1365.6922761557632     
        1076   1365.8934894668146     
        1077   1366.0078077187186     
        1078   1366.1362943273155     
        1079   1366.0490276237724     
        1080   1365.9417355808907     
        1081   1365.8624831804443     
        1082   1365.7305795349416     
        1083   1365.6393506439310     
        1084   1365.5651030661863     
        1085   1365.5740204047365     
        1086   1365.7734816969514     
        1087   1366.0233927824970     
        1088   1366.1577737438049     
        1089   1366.2990479504790     
        1090   1366.1930747064005     
        1091   1366.0532248068753     
        1092   1365.9568071938122     
        1093   1365.7876123355918     
        1094   1365.6769148876742     
        1095   1365.5764646355228     
        1096   1365.6292140075868     
        1097   1365.8278433593077     
        1098   1366.0793637772015     
        1099   1366.1997635513308     
        1100   1366.3478740374280     
        1101   1366.2162888311886     
        1102   1366.0696715746708     
        1103   1365.9481043978226     
        1104   1365.7607221757867     
        1105   1365.6141841607971     
        1106   1365.4988731063238     
        1107   1365.6133750619019     
        1108   1365.7522761557632     
        1109   1365.9434894668145     
        1110   1366.0278077187186     
        1111   1366.1362943273155     
        1112   1366.0190276237724     
        1113   1365.8917355808908     
        1114   1365.7924831804444     
        1115   1365.6305795349417     
        1116   1365.5193506439311     
        1117   1365.4251030661865     
        1118   1365.5029878562013     
        1119   1365.6535528310503     
        1120   1365.8315474774054     
        1121   1365.9338281036671     
        1122   1366.0386421534174     
        1123   1365.9725993741959     
        1124   1365.8888420453000     
        1125   1365.8298887724238     
        1126   1365.7243598545517     
        1127   1365.6548120976852     
        1128   1365.6002861245845     
        1129   1365.5544076104372     
        1130   1365.7922050216641     
        1131   1366.0753347719062     
        1132   1366.2317533588564     
        1133   1366.3967001243768     
        1134   1366.2795029559770     
        1135   1366.1361183424660     
        1136   1366.0294016018329     
        1137   1365.8538320159817     
        1138   1365.7114534339200     
        1139   1365.6012815771246     
        1140   1365.6642785418703     
        1141   1365.8659639134264     
        1142   1366.1113541087698     
        1143   1366.2237601538393     
        1144   1366.3641493997443     
        1145   1366.2206935394515     
        1146   1366.0618204972693     
        1147   1365.9285367991595     
        1148   1365.7384254558517     
        1149   1365.5999405851715     
        1150   1365.4730092632574     
        1151   1365.5835041304688     
        1152   1365.7385172640008     
        1153   1365.9474701299509     
        1154   1366.0558009237359     
        1155   1366.1688450519480     
        1156   1366.0678370402979     
        1157   1365.9460334260875     
        1158   1365.8533479831181     
        1159   1365.7059860950717     
        1160   1365.6108634926798     
        1161   1365.5233753800537     
        1162   1365.5735041304688     
        1163   1365.7385172640008     
        1164   1365.9474701299509     
        1165   1366.0458009237359     
        1166   1366.1688450519480     
        1167   1366.0678370402979     
        1168   1365.9360334260875     
        1169   1365.8333479831181     
        1170   1365.6859860950717     
        1171   1365.5708634926798     
        1172   1365.4733753800538     
        1173   1365.5529878562013     
        1174   1365.6835528310503     
        1175   1365.8615474774053     
        1176   1365.9438281036671     
        1177   1366.0386421534174     
        1178   1365.9525993741959     
